TradeDate,A_CLOSE
2009-09-09,27.15
2009-09-10,27.86
2009-09-11,28.05
2009-09-14,28.10
2009-09-15,28.32
2009-09-16,28.63
2009-09-17,28.49
2009-09-18,28.37
2009-09-21,28.81
2009-09-22,28.53
2009-09-23,28.27
2009-09-24,27.83
2009-09-25,27.58
2009-09-28,27.89
2009-09-29,27.90
2009-09-30,27.83
2009-10-01,26.61
2009-10-02,26.31
2009-10-05,26.82
2009-10-06,27.22
2009-10-07,27.10
2009-10-08,27.40
2009-10-09,27.47
2009-10-12,27.46
2009-10-13,27.29
2009-10-14,27.59
2009-10-15,27.62
2009-10-16,27.21
2009-10-19,27.40
2009-10-20,26.47
2009-10-21,26.88
2009-10-22,26.87
2009-10-23,26.20
2009-10-26,25.71
2009-10-27,25.73
2009-10-28,25.32
2009-10-29,25.73
2009-10-30,24.74
2009-11-02,25.07
2009-11-03,25.03
2009-11-04,25.05
2009-11-05,26.13
2009-11-06,26.17
2009-11-09,26.96
2009-11-10,27.00
2009-11-11,27.46
2009-11-12,27.43
2009-11-13,28.61
2009-11-16,29.37
2009-11-17,29.63
2009-11-18,29.46
2009-11-19,29.13
2009-11-20,28.91
2009-11-23,29.28
2009-11-24,29.24
2009-11-25,29.54
2009-11-27,28.85
2009-11-30,28.92
2009-12-01,29.44
2009-12-02,29.49
2009-12-03,29.70
2009-12-04,29.86
2009-12-07,29.88
2009-12-08,29.59
2009-12-09,29.25
2009-12-10,29.69
2009-12-11,29.64
2009-12-14,29.97
2009-12-15,29.90
2009-12-16,29.77
2009-12-17,29.44
2009-12-18,29.40
2009-12-21,29.91
2009-12-22,30.18
2009-12-23,30.30
2009-12-24,30.33
2009-12-28,30.40
2009-12-29,30.33
2009-12-30,31.10
2009-12-31,31.07
2010-01-04,31.30
2010-01-05,30.96
2010-01-06,30.85
2010-01-07,30.81
2010-01-08,30.80
2010-01-11,30.82
2010-01-12,30.45
2010-01-13,30.69
2010-01-14,31.15
2010-01-15,30.43
2010-01-19,30.80
2010-01-20,30.63
2010-01-21,30.52
2010-01-22,29.17
2010-01-25,29.45
2010-01-26,29.29
2010-01-27,29.17
2010-01-28,28.69
2010-01-29,28.03
2010-02-01,29.13
2010-02-02,29.50
2010-02-03,29.54
2010-02-04,29.07
2010-02-05,29.17
2010-02-08,29.20
2010-02-09,29.41
2010-02-10,29.25
2010-02-11,29.36
2010-02-12,29.98
2010-02-16,30.25
2010-02-17,30.63
2010-02-18,30.98
2010-02-19,31.20
2010-02-22,31.15
2010-02-23,30.85
2010-02-24,31.23
2010-02-25,31.09
2010-02-26,31.46
2010-03-01,32.09
2010-03-02,32.36
2010-03-03,32.44
2010-03-04,32.26
2010-03-05,33.16
